hy_name,hysta
—号坝,40108500
丁家沟,40800900
万家寨下,40103470
三两,40516300
三湖河口,40103050
三甲集,40302200
三门峡,40104450
上村,40201500
上诠,40101000
下河村,41603800
下河沿,40101750
东园,40515500
东湾,41602000
临洮,40301800
临潼,41101300
临镇,40606900
久治,40200400
义棠,41002900
乐都,40400550
乡宁,40607500
二牛湾（摩）,40512600
二牛湾（羊）,40512700
二道边,40600050
五龙口,41701600
交口河,41300500
享堂,40411600
偏关,40600700
傅家寨（二）,40406200
八里桥（三）,40407500
八里桥（渠道）,40407505
兰州,40101200
兰村 （四）,41001000
兴县,40602300
军功,40100300
冶力关,40301200
凤阁岭,41104100
函谷关,40902750
刘家园,40107800
刘家河,41300300
利津,40108400
前脑包,40518050
包头,40103180
化隆,40203000
北店子,40107400
北望,41500301
北道,41100550
千阳,41105000
华县,41101600
南桥,40107050
南荣华,41300900
卢氏,41605000
双城,40203800
吉县,40607300
吉家堡,40408900
吉迈,40100150
同仁,40202700
后大成,40604100
吴堡,40104000
吴旗,41300100
咸阳,41101100
哈德门沟,40513500
哈拉沁,40516700
响沙湾,40515110
哨马营,01501050
唐乃亥,40100350
唐乃亥(羊曲下),401T0350
唐克,40200500
国那里,40106550
图格日格,40513300
圪洞,40604300
塔尔湾,40514300
夏寨,41103000
夏河,40203700
多坝,40301100
大佘太水库（入库）,40512900
大宁,40605800
大峪,41108200
大村,40607200
大水,40200700
大米滩,40201100
大车集,41402400
天堂寺,40411200
天水,41103800
头道拐,40103400
夹河滩,40105453
夹河滩（二）,40105450
子长,40605400
孔家坡,41700200
孙口,40106350
宁县,41204900
安口,41201900
安塞,40606000
安头,41106300
安宁渡,40101600
定西,40206900
定西西河,40206700
宜阳,41606600
寨上（二）,41000800
小川,40100800
小浪底,40104700
尕日得,40410600
尧甸,40301700
山路平,41704600
岢岚,40602100
岷县,40300500
巴彦高勒,40102650
巴彦高勒（南）,40510400
巴彦高勒（总三）,40510500
巴彦高勒（沈）,40510300
平凉,41200400
广生隆,40512800
庆阳,41203900
店上村,40517100
府谷,40103900
康乐,40301500
延川,40605500
开边,41203300
张家山,41201100
张村驿,41301400
张河,41205200
张肖堂,40108150
彭阳,41203200
循化,40100550
志丹,41301300
戴村坝,41501601
折桥,40204000
拓石,41100580
挡阳桥,40600200
新安,41609200
新市河,40607000
新庙,40707000
旗下营,40515900
旧县,40601400
景村,41200900
曹坪,40803100
朝邑,41301100
朝阳,40403900
札马什克,01500200
朱付村,41402500
朱园,41104200
朱阳（二）,40902400
李家村,40300600
李家河,40803000
杏河,40606500
杨家坡,40603200
杨集,40106100
林家坪,40603400
林家村,41100590
枣园,40606700
柳林,41109400
柴庄,41003700
栾川,41601000
桥头,41401610
桥头（五）,40403700
横山,40801800
正义峡,01500900
武山,41100300
武胜驿,40204900
武陟,41702400
殿市,40801900
毛家河,41202700
民和,40400800
汾河二坝,41001900
汾河水库（坝上）,41000500
沙圪堵,40601005
河口街,41604780
河曲,40103500
河津,41003900
油房,41703200
泉眼山,40501900
泺口,40107450
泾川,41200500
泾河源,41200100
洪德,41203700
济源,41401800
海晏（三）,40400110
海流图,40512500
涝峪口,41107300
润城,41701200
淳化,41110100
清水,40203300
清水河,40600600
清河镇,40108050
温家川,40705000
湟海渠,40401405
湟源,40400190
漫湾村,41106200
潭头,41601400
潼关,40104360
濮阳,41402700
灵口,41604400
牛场,40403200
状头,41300700
狼心山(东干渠),01501310
狼心山(东河二),01501155
狼心山(西河),01501260
王家庄,40406700
王道恒塔,40703000
玛曲,40100250
甘谷,41102100
甘谷驿,40606300
申家湾,40603000
白家川,40801200
白马寺,41607600
癿藏,40203600
皇甫,40600900
皋落,41400950
益门镇,41104300
石嘴山,40102500
石寺,41401750
石拐,40515400
石门峪,41607800
碌曲,40300200
社棠,41104000
祁连,01501400
神木,40704000
秦安,41102900
秦渡镇,41107500
红山口,40516800
红崖子,40205100
红旗,40300800
红砂坝,40517800
罗李村,41108300
美岱,40516200
耀县,41109800
艾山,40107100
芦家庄,41005400
花园口,40105150
苏泗庄,40105850
范县,41402900
莺落峡,01500400
董家庄（三）,40401800
袁家庵,41202000
裴沟,40605100
西宁,40400400
西河口,40108650
西纳川（二）,40402500
西霞院,40104730
贵德,40100500
贾家沟,40711000
贾桥,41204400
赵石窑,40800700
转龙湾,40701050
连城,40411400
邢庙,40106050
郭城驿,40205900
郭家桥（三）,40505500
金门,40512150
长水,41606000
门堂,40100180
陆浑,41602400
陈梨夭,40517400
陈河,41107150
隆德,41103500
雨落坪,41204000
青石嘴,40411010
青铜峡,40102100
青铜峡（东总〉,40504030
青铜峡（西总）,40504060
青阳岔,40802600
靖远,40206000
韩城,41608603
韩家峁,40801400
飞岭,41700600
马渡王,41108500
马湖峪,40802400
马王庙,40700990
高家堡,40602700
高家川,40602800
高崖,01500700
高村,40105650
高石崖,40601500
髙桥,41107600
魏家堡,41100900
鸣沙洲（四）,40503600
鹦鸽,41105400
麻湾,40108350
黄家河,41203400
黄庄,40106850
黄河,40200100
黄河沿,40100100
黄陵,41301600
黑峪口,41107200
黑林（二）,40404400
黑石关,41600400
龙头拐,40513605
龙门,40104150
龙门镇,41603200
