st_name,stcd
曹坡,41612441
鸣皋,41652400
酒后乡,41652401
沙园,41652402
杨圪挡水库,41652404
宋店,41652501
杜沟,41652502
刘沟,41652503
袁庄,41653201
司马沟,41653202
白沙,41653600
银河水库,41653601
西场,41653602
马河湾水库,41653603
东寨,41653604
水寨,41653605
黑羊,42653203
前嘴,31022300
朝歌,31022400
北山门口,31022401
大水头,31022402
石老公,31022403
纣王殿,31022404
黄洞,31022405
全寨,31022406
小柏峪,31022407
小岩村,31022408
河口,31022409
大花庄,31022410
赵庄,31022411
新乡屯,31022412
南宋庄,31022414
臧口,31022415
形盆,31022416
柳林,31022417
赵沟,31022418
大柏峪,31023600
龙卧,31024906
杜康,41652403
常岭,41652405
下岗底,41652406
孟垴,41652407
茹店,41652409
石柱,50525851
拔菜,50525852
刘坑,50525853
上店,50602450
红军,50624001
椒沟,50624761
宝丰,50624781
武沟,50624782
杨沟,50624801
十八盘,50624802
枣林,50624803
黄路,50624804
漫流,50624805
林场,50624806
邢坪,50624901
刘店乡,50624902
七贤,50624903
关帝,50624904
黄滩,50624905
陶营,50624906
罗营,50624907
太山,50625652
河庄,50625653
椿树,50625654
靳村,50625655
牌路,50625657
排路,50625700
沙坪,50625750
付店,50625850
十八盘,50625950
秦亭,50626000
王坪,50626050
三屯,50626100
上汤沟,41424571
石庄,41424572
店上,41424573
路家庄,41424574
横山,41424575
孟县,41424580
汤庙,41424581
小宋庄,41424582
东赵和,41424583
北那,41424584
缑村,41424585
前姚,41424586
还封,41424587
中化,41424808
下官,41424809
许村,31120100
黄城,31120150
华龙区水利局,41402702
南李店,50202100
响水潭水库,50202320
灵山一水库,50202340
青蓬水库,50202360
曾店村,50223680
中心,50223901
湖南,50223902
邵湾,50223903
龙泉,50223904
淮河桥,50223905
尤店,50223906
高店,50223950
定远店,50224350
山店,50224351
天竹,50224352
秦畈,50224353
九龙,50224354
郑洼,50224355
章楼,50224356
庙仙乡,50224359
蔡店,50224360
后沟,50224450
江塝,50224500
周党畈,50224550
铁卜,50224600
彭新店,50224650
前锋,50224651
耿楼,50224653
潘新,50224700
罗山,50224850
杨畈,50224900
涩港店,50224950
朱堂,50225000
肖畈,50225001
万河,50225002
黄湾水库,50225003
子路山水库,50225004
殷湾,50225005
郑堂,50225007
吴老湾,50225008
袁冲,50225009
闵水,50225010
十里头,50225011
新塘,50225012
跃进水库,50225013
罗山南,50225350
回郭镇,41425051
公川,41623631
关帝庙,41623632
鲁庄,41623633
堤东,41623634
核桃园,41623651
涉村,41623652
夹津口,41623653
山川,41623654
芝田镇,41623655
王沟,41623656
峡峪,41628113
新中,41628114
段河村,41628115
米河镇,41628116
和沟,41628117
竹林,41628120
站街,41658100
洪河,41658101
赵沟,41658102
礼泉,41658103
南河渡,41658104
神南,41658105
铁匠炉,41658106
河洛镇,41658107
包信,50202800
路口,50225650
楼园,50225651
秦围孜,50225652
傅寨,50225653
任大寨,50225700
金店,50225701
魏店,50225702
八里岔,50225750
伍底下,50225751
夏庄,50226500
梅楼,50226501
李围孜,50226502
王林,50226503
大谢楼,50226504
白店,50226850
张陶,50226950
乌龙店,50227050
岗李店,50326950
傅寨,50500702
大谢楼,50500703
李围孜,50500704
王林,50500705
三门峡水利局,40104431
湖滨区水利局,40104432
交口(三门峡),40104434
羊虎山,40104435
北梁,40104436
卢家店,40104437
马坡,40104438
市砖瓦厂,40104440
侯村,40104441
野獐坪,62013810
小湍河,62013820
大块地(内乡),62013840
凤凰坪,62013860
北川,62014010
前庄(内乡),62014020
高皇,62014030
靳河,62014040
万沟,62014050
三岔河,62014700
石庙,62014710
符庄,62016020
寺河,62021804
彭营,62021821
石庙,62024001
蚌峪,62024002
唐河,62024003
红堰,62024004
朱庙,62024671
均张,62024672
李营,62024673
后时家水库,62025602
清凉庙,62025603
吕营,62025604
宋家沟水库,62025851
庙湾水库,62025852
庙岗,62037900
黄营,62044100
葛条爬,62045700
大龙,62045900
板厂,62046000
让河,62046010
雁岭街,62046100
大栗坪,62046200
青杠树,62046300
赤眉,62046600
黄营,62047100
马山口,62047200
王店,62047300
蚱曲,62050600
苇集,62050800
庞集,62050801
王湾,41607206
陉山,50621950
买桥,50621951
后河,50621952
会河,50621953
长葛,50621954
西樊楼,50621955
北寨北街,50622004
古桥,50622005
石象,50622350
大周镇,50627981
山孔,50627982
陈尧,50627984
董村（许昌）,50665128
刘庄,50422803
逊母口,50428100
李彩集,50428200
符草楼西,50428201
考主岗,50428202
吴振刚,50428203
槐寺集,50428300
前席,50667408
芝麻洼,50821700
铁佛寺,50822800
柳河,50822801
刘城,50822802
李金斗,50822900
周寨,50822901
太康,50826600
真村,41421741
刘沟,41421742
王顶,41421743
王村,41425050
环翠峪,41628111
刘河,41628112
冯沟,41628118
石洞沟,41628119
高山,41628121
老君堂,41628122
房罗,41628123
上街区,50606606
袁庄,50630720
洞林湖,50630760
老邢,50631000
王宗店,50631100
荥阳,50631250
寺沟,50631251
盆窑,50631252
槐树洼,50631253
插阎,50631254
广武,50631255
郭岗,50631351
豫龙镇,50631352
王寨,50631355
须水,50631356
祁楼,50220064
朱楼,50229553
杨棚,50229555
邱塆,50229556
余集,50229600
三里坪,50230000
新建坳,50502200
卢店,50502970
香子岗,50522210
郭庙,50522410
丰集,50523900
黄柏山,50524100
百战坪,50524200
两河口(信阳),50524210
长竹园,50524300
黑河,50524400
枫香树,50524900
龙泉,50524910
大木厂,50524930
余子店,50524940
通城店,50525100
螺蛳畈,50525110
李冲,50525120
汤泉池,50525150
粉壁渡,50525151
冯店乡,50525152
塔塆,50525153
陈畈,50525154
新楼,50525155
何楼,50525250
王塆,50525251
卜店,50525252
白蛇堰,50525253
塘塆,50525257
上石桥,50525500
狗尾巴山水库,50525510
石门冲水库,50525520
商城管委会,62011401
洛洼水库,62011404
南阳水利局,62011406
石桥二村,62021401
蒲山二村,62021402
赵官庄,62021403
雷庄,62021404
周沟,62023651
杨树岗水库,62023652
崔坊,62023653
小屯,62023654
西梁庄,62023655
下潘营,62049800
青华,62050100
双柳树,50203800
白鹭河,50203850
冯大塘,50220051
黄营,50220052
谈围,50220053
北杨集,50220054
万大桥,50220055
常营,50220056
朱陂店,50220057
胡寨,50220058
江家集乡,50220059
曾寨,50220060
高寨,50220061
肖坎,50220062
周楼,50220063
林淮,50222501
中心,50222502
杨围子,50222503
明星,50222504
